_ is an independent test performed by end users prior to accepting the delivered system,User acceptance testing
In project time management which of the following processes involve analyzing activity sequences activity resource estimates and activity duration estimates to create the project schedule?,Developing the schedule
In project time management which of the following processes involve calculating the number of work periods that are needed to complete individual activities?,Estimating activity durations
In project time management which of the following processes primarily involve identifying and documenting the relationships between project activities?,Sequencing activities
In TQC product quality is more important than production rates and workers are allowed to stop production whenever a quality problem occurs,TRUE
Indirect costs are,not directly related to the products or services of a project
Intangible costs can be easily measured in monetary terms,FALSE
Integration testing involves testing of each individual component to ensure that it is as defect-free as possible,FALSE
It is important for project managers to focus on indirect costs because they can be easily controlled,FALSE
It is important for project managers to understand that every cost estimate is unique,TRUE
It is important for the activity list and activity attributes to be in agreement with the work breakdown structure,TRUE
IT project managers must be able to present and discuss project information both in financial and technical terms,TRUE
Knowing the amount of float allows project managers to know whether a project schedule is flexible,TRUE
Milestones are easy to achieve and are always achieved through one main activity,FALSE
Network diagrams are the preferred technique for showing activity sequencing,TRUE
Newtech Inc hires John for the position of a software programmer to work on their new project Salary paid to John by Newtech Inc would be an example of _ costs,direct
One of Juran’s ten steps to quality improvement states that,an organization should build awareness of the need and opportunity for improvement
One of PERT’s main disadvantages is that it does not address the risk associated with duration estimates,FALSE
One of the main outputs of the _ process is a cost baseline,cost budgeting
One of the reasons why project cost estimates are inaccurate is because human beings are biased toward underestimation,TRUE
One possible response to managing negative risk it to accept the potential effects from the risk,TRUE
Only in-house auditors can perform quality audits,FALSE
Overrun is the additional percentage amount by which estimates exceed actual costs,FALSE
Parametric models are reliable when the models are flexible in terms of the projects size,TRUE
Performing qualitative and quantitative risk analyses are subprocesses of the _ process of project risk management,planning
Performing quality assurance is a subprocess of the _ process of project quality management,executing
Potential problems that might occur on the project and how they might impede project success are _ risks,negative
Process improvement plan quality metrics and quality checklists are the outputs of the _ process of project quality management,planning quality management
Products that are accepted by project stakeholders are considered to be validated deliverables,TRUE
Profits may be defined as,revenues minus expenditures
Project managers are ultimately responsible for quality management on their projects,TRUE
Project managers must conduct cash flow analysis to determine net present value,TRUE
Project schedules grow out of basic documents such as the project charter,TRUE
Projects that use Six Sigma principles for quality control normally follow a five-phase improvement process called _,DMAIC
Quantitative risk analysis need not be done for projects that are large and complex,TRUE
Reliability is the ability of a product or service to perform as expected under deviant conditions,FALSE
Risk events refer to specific certain events that may occur to the detriment or enhancement of the project,FALSE
Risk utility rises at a decreasing rate for a _ person,risk-averse
Risks can have both negative and positive effects on meeting project objectives,TRUE
Schedule variance is,the earned value minus the planned value
Six Sigmas target for perfection is the achievement of no more than _ defects errors or mistakes per million opportunities,34
Soles is a footwear company which has recently set up its store in Ambrosia To manufacture its products Soles incurs a range of different costs Which of the following would be an example of an indirect cost?,Electricity used to run its factories
Spreadsheets are a common tool for cost estimating cost budgeting and cost control,TRUE
Start-to-finish relationships are the most frequently used dependencies between activities,FALSE
Supporting details for an estimate include the ground rules and assumptions used in creating the estimate,TRUE
Testing as a stage is important only at the end of an information technology product development,FALSE
The _ for an activity is the latest possible time an activity might begin without delaying the project finish date,late start date
The _ is a measure of quality control equal to 1 fault in 1 million opportunities problems,six 9s of quality rule
The _ lists the relative probability of a risk occurring and the relative impact of the risk occurring,probability/impact matrix
The _ process is often associated with the technical tools and techniques of quality management such as Pareto charts quality control charts and statistical sampling,quality control
The amount of time an activity can be delayed without delaying the early start date of any immediately following activities is known as a _,free slack
The arrows in a network diagram represent missed milestones in a project,FALSE
The budget is one of the three values of earned value management and is also known as _,planned value
The cost performance index CPI,can be used to estimate the projected cost of completing the project
The critical path is the _ path through a network diagram and it represents the _ amount of slack or float,longest; shortest
The critical path on a project can change as the project progresses,TRUE
The degree of uncertainty an entity is willing to take on in anticipation of a reward is,risk appetite
The Delphi technique is a systematic interactive forecasting procedure based on independent and anonymous input regarding future events,TRUE
The design of experiments technique cannot be applied to project management issues such as cost and schedule trade-offs,FALSE
The final process in project time management is developing the schedule,FALSE
The first process involved in project time management is _ ,planning schedule management
The first step in project cost management is,to plan how costs will be managed
The formulas for variances and indexes start with EV the earned value,TRUE
The last step in project risk management is deciding how to address this knowledge area for a particular project by performing risk management planning,FALSE
The lower the earned monetary value calculation for a project the chances of project success is higher,FALSE
The main disadvantage of crashing is that it lengthens the time needed to finish a project,FALSE
The main goal of the _ process is to produce a cost baseline for measuring project performance and project funding requirements,cost budgeting
The Microsoft Solution Framework MSF includes a risk management model that includes developing and monitoring a top-ten master list of risks,TRUE
The Monte Carlo analysis can predict the probability of finishing by a certain date or the probability that the cost will be equal to or less than a certain value,TRUE
The primary output of the planning cost management process is a change request,FALSE
The process of controlling costs primarily involves,managing changes to the project budget
The project management plan and project funding requirements are inputs of the process of controlling costs,TRUE
The psychology literature shows that individuals working alone produce fewer ideas than the same individuals produce through brainstorming in small face-to-face groups,FALSE
The quality assurance process involves taking responsibility for quality throughout the project’s life cycle,TRUE
The risk register can be created with a simple Microsoft Word or Excel file,TRUE
The Six Sigma approach works best for a project where a quality problem is identified between the current and desired performance,TRUE
The technique for making cost and schedule trade-offs to obtain the greatest amount of schedule compression for the least incremental cost is known as _,crashing
The technique of fast tracking can result in lengthening the project schedule,TRUE
The term sigma means median,FALSE
Those who are _ have a higher tolerance for risk and their satisfaction increases when more payoff is at stake,risk-seeking
To define activities the project team should start with reviewing the schedule management plan scope baseline enterprise environmental factors and organizational processes,TRUE
Top Ten Risk Item Tracking is a quantitative risk analysis tool,FALSE
Unenforceable conditions or contract clauses and adversarial relations are risk conditions associated with the project _ management knowledge area,procurement
Unknown risks can be managed proactively,FALSE
Using Six Sigma principles is an organization-wide commitment and all employees must embrace its principles,TRUE
Validated changes and validated deliverables are the outputs of the _ subprocess of project quality management,monitoring and controlling
Validated changes and validated deliverables are the outputs of the quality assurance process,FALSE
Variances are calculated by subtracting the actual cost from _,earned value
What is the first step in a Monte Carlo analysis?,Assess the range for the variables being considered
When deciding what projects to invest in or continue one should include sunk costs,FALSE
Which of the following dependencies involve relationships between project and non-project activities?,External
Which of the following documents is most likely to include planned project start and end dates which serve as the starting points for a detailed schedule?,Project charter
Which of the following involves developing an approximation of the costs of resources needed to complete a project?,Estimating costs
Which of the following is a difference between an activity list and an activity attribute?,An activity attribute provides more schedule-related information about each activity than an activity list
Which of the following is a network diagramming technique used primarily to predict total project duration?,Critical path analysis
Which of the following is a relationship in which the “from” activity cannot start until the “to” activity is started?,Start-to-start
Which of the following is a silimarity between scope control and schedule control?,Both are portions of the integrated change control process under project integration management
Which of the following is an input of the process of controlling costs?,Work performance data
Which of the following is an output of schedule control?,Lessons-learned reports
Which of the following is an output of the process of controlling costs?,Cost forecasts
Which of the following is most likely to be a reason for inaccuracies in information technology cost estimates?,People lack estimating experience
Which of the following is one of Deming’s 14 Points for Management?,Eliminate the annual rating or merit system
Which of the following is one of the main outputs of estimating activity resources process?,Project documents update
Which of the following is true of a finsih-to-finish dependency?,It is a dependency in which the “from” activity must be finished before the “to” activity can be finished
Which of the following is true of a rough order of magnitude estimate?,It provides an estimate of what a project will cost
Which of the following is true of analogous estimates?,They are most reliable when previous projects are similar in fact with current projects
Which of the following is true of bottom-up estimates?,They are time-intensive and expensive to develop
Which of the following is true of contingency reserves?,They allow for future situations that can be partially planned for
Which of the following is true of dummy activities?,They show logical relationships between activities
Which of the following is true of earned value?,It is an estimate of the value of the physical work actually completed
Which of the following is true of tangible costs?,They can be easily measured
Which of the following is true of the schedule performance index SPI?,It can be used to estimate the projected time to complete the project
Which of the following processes in project time management involves identifying the specific tasks that the project team members and stakeholders must perform to produce the project deliverables?,Defining activities
Which of the following reserves allows for future situations that are unpredictable?,Management reserves
Which of the following techniques involve doing activities in parallel that one would normally do in sequence?,Fast tracking
Which of the following types of dependencies are inherent in the nature of work being performed on a project?,Mandatory
Which of the following types of estimate use the actual cost of a previous similar project as the basis for estimating the cost of the current project?,Analogous estimates
Work performance information and cost forecasts are main outputs of the _ process,cost control
